Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Воблий Венедикт;Іванович;чоловік;16-02-1946;Актор;село Докучаєвськ;узвіз Грецька, буд. 576 кв. 885, Южне, 75516;719 08 38;haievskyiadam@example.net
Шамрай Назар;Махайлович;чоловік;18-11-1967;Публіцист;хутір Верхньодніпровськ;провулок Магнітогорський, буд. 1 кв. 50, Городенка, 20673;+380 80 173-75-00;ckalenychenko@example.org
Бездітко Богдан;Дмитрович;чоловік;09-11-1983;Фізик;хутір Гайсин;площа Палія Семена, буд. 2 кв. 4, Нове Давидково, 50174;002 447 43 93;dubenkoemiliia@example.com
Чорновіл Єлисей;Дмитрович;чоловік;15-05-1991;Історик;хутір Калинівка ;вулиця Івана Франка, буд. 34, Радивилів, 43623;068 663-30-43;valentyn60@example.com
Дутка Олена;Дмитрівна;жінка;08-02-1974;Психолог;місто Богодухів;провулок Красива, буд. 4 кв. 7, Привілля, 11982;704-45-82;nalyvaikofedir@example.com
Ткач Пріска;Віталівна;жінка;10-06-1994;Фізик;хутір Білгород-Дністровський;шосе Палія Семена, буд. 84 кв. 853, Ладижин, 79235;016 802 51 81;iereskoodarka@example.net
Терещук Максим;Олександрович;чоловік;05-02-1942;Режисер;місто Вараш;вулиця Соляний 7-й, буд. 848, Маріуполь, 78593;630 32 27;rozaliiatelychenko@example.org
Гаврилів Віталій;Сергійович;чоловік;13-09-1950;Стоматолог;селище Прилуки;сквер Нафтовиків, буд. 1 кв. 75, Вараш, 99435;+380 97 868-09-53;gzakharchenko@example.com
Корпанюк Марта;Григорівна;жінка;17-06-1949;Клавішник;село Кам'янка-Дніпровська;набережна Красносільська, буд. 90, Моспине, 39585;013 249-53-71;oleh33@example.org
Дуплій Ліза;Миколайович;жінка;26-06-1941;Реставратор;село Перечин;узвіз Мічуріна, буд. 25 кв. 975, Білицьке, 49514;689-28-00;trokhym84@example.org
Зінченко Павло;Володимирович;чоловік;13-06-1951;Флорист;селище Новоселиця;узвіз 4-та Суворовська, буд. 63, Бердянськ, 88048;+380 78 789-35-55;gdrozdenko@example.com
Ґоляш Мирослав;Сергійович;чоловік;18-10-1999;Дипломат;село Київ;парк Керченський 3-й, буд. 36 кв. 89, Берестечко, 06793;703-63-43;neporozhniiokhrim@example.net
Вакарчук Розалія;Тимофіївна;жінка;23-07-1953;Електротехнік;місто Корець;площа Мацієвської узвіз, буд. 5 кв. 3, Кролевець, 73494;+380 49 733-73-40;sbabiak@example.com
Опанасенко Панас;Дмитрович;чоловік;16-08-1970;Менеджер;селище Дубляни;проспект Оранжерейний, буд. 171, Люботин, 79822;+380 93 221-28-52;valentynoliinyk@example.net
Тригуб Алла;Іванівна;жінка;04-12-1953;Акушер;село Лозова ;провулок Соборна, буд. 4 кв. 0, Южноукраїнськ, 61828;537-68-51;tlutsenko@example.com
Авдєєнко Костянтин;Володимирович;чоловік;05-01-1975;Машиніст;селище Лиман ;сквер Леха Качинського, буд. 26, Світловодськ, 19167;011 159 94 72;semenchenkoamaliia@example.net
Терещенко Оксенія;Дмитрівна;жінка;13-09-1995;Пекар;хутір Городок;узвіз Тепличний 1-й, буд. 776, Любомль, 86226;+380 80 069 72 61;oksana96@example.net
Венгринович Феофан;Миколайович;чоловік;12-06-1990;Машиніст;хутір Кілія;проспект Качалова, буд. 913, Сорокине, 30304;+380 54 713-69-12;symon05@example.net
Рубець Дарина;Тимофіївна;жінка;09-07-1944;Провізор;село Гнівань;набережна Київське, буд. 3 кв. 58, Дрогобич, 23782;+380 91 068 69 12;ivan21@example.org
Павлик Ярослава;Сергіївна;жінка;16-12-1957;Акушер;село Очаків;набережна Чубаївський, буд. 223 кв. 96, Первомайськ, 30784;784 87 07;solomonbebeshko@example.com
Христич Мілена;Миколайович;жінка;20-10-1937;Журналіст;селище Краматорськ;сквер Грибоєдова, буд. 834, Великі Мости, 20898;020 044-93-78;leonidustenko@example.org
Малик Кирило;Дмитрович;чоловік;17-09-1984;Льотчик;хутір Волочиськ;набережна 19-й км Старокиївської дороги, буд. 322 кв. 2, Семенівка, 21056;986-45-93;hordiimykhailychenko@example.net
Пилипенко Василина;Валеріївна;жінка;19-08-1962;Різноробочий;хутір Тараща;набережна Макарова, буд. 90, Покров, 78871;+380 (21) 697-67-17;klyment80@example.net
Андрусенко Михайло;Вікторович;чоловік;18-10-1995;Інженер;село Чортків;проспект Бориса Дерев'янка, буд. 82 кв. 09, Зіньків, 52974;531 77 19;xzakharchenko@example.net
Дерегус Світлана;Дмитрівна;жінка;17-02-1939;Математик;село Красноград;шосе Туристська, буд. 633 кв. 313, Червоноград, 43012;064 246-01-54;ydutka@example.com
Швачко Оксенія;Анатоліївна;жінка;03-07-2001;Стиліст;селище Галич;шосе Лузанівка, буд. 0 кв. 780, Черкаси, 18368;068 354-35-22;stanislavaronets@example.org
Туркало Віолетта;Миколайович;жінка;18-10-1953;Фольклорист;село Мерефа;площа Макова, буд. 298, Світлодарськ, 79384;+380 95 853-71-54;leopoldkylymnyk@example.net
Царенко Ілля;Васильович;чоловік;08-05-1975;Локсмайстер;село Верхівцеве;проспект Молодогвардійська, буд. 78 кв. 20, Радехів, 06428;034 710 38 05;iosyp98@example.net
Бабій Наталія;Тимофіївна;жінка;26-08-1938;Антрополог;хутір П'ятихатки;шосе Нескучна, буд. 755 кв. 3, Привілля, 06424;740 79 75;mazurmaksym@example.org
Непорожній Аарон;Анатолійович;чоловік;13-01-1951;Агроном;селище Шахтарськ;шосе Юннатів 2-й, буд. 92, Кальміуське, 70027;079 822 88 86;andriiovychliliia@example.com
Журба Лукʼян;Григорович;чоловік;02-06-1981;Живописець;село Бориспіль;парк Каспійський, буд. 770, Решетилівка, 24047;054 936 22 10;halynabashtan@example.com
Башполченко Франц;Олександрович;чоловік;04-03-1984;Паблік рилейшнз;місто Ровеньки;сквер Кондрашина, буд. 37, Гуляйполе, 24469;031 318 86 18;sfranchuk@example.org
Килимник Пантелеймон;Миколайович;чоловік;30-12-1999;Ботанік;місто Бучач;узвіз Скрипковий, буд. 23, Ладижин, 27086;+380 73 076-77-08;shchorsmykhailo@example.com
Цюпа Святослав;Олександрович;чоловік;29-05-1940;Електромонтер;селище Святогірськ;шосе Новий, буд. 87 кв. 7, Умань, 29887;044 728 15 08;komarpetro@example.org
Дубенко Максим;Дмитрович;чоловік;29-05-1946;Державний службовець;місто Ржищів;парк Куниці, буд. 7, Ржищів, 79391;056 386 36 96;oksanakozachenko@example.net
Гаврилів Вікторія;Анатоліївна;жінка;22-01-1943;Ді-джей;хутір Красноперекопськ;вулиця 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 95, Горішні Плавні, 86862;037 771 31 28;ohaidai@example.org
